id;tenant_id;name;tax_id;client_type;credit_limit;credit_used;payment_terms_days;status;last_order_at;is_deleted;created_at;updated_at
1;40097;calculate;Kuwait;INDEPENDENT_POS;13728;83931;30839;ACTIVE;2026-03-09T00:47:55;true;2026-03-09T02:35:28;2026-03-08T21:53:20
2;97092;compressing array;envisioneer;TELECOM_OPERATOR;99207;38679;59415;INACTIVE;2026-03-09T00:43:27;true;2026-03-09T11:00:35;2026-03-09T16:18:26
3;43800;capacitor hard;iterate;TELECOM_OPERATOR;78566;48522;2463;SUSPENDED;2026-03-08T21:15:19;true;2026-03-09T10:06:10;2026-03-09T06:15:16
4;44787;Account superstructure Security;Maine Legacy e-markets;TELECOM_OPERATOR;14671;22390;13573;ACTIVE;2026-03-09T06:35:36;true;2026-03-09T14:42:56;2026-03-08T23:41:31
5;69585;Savings grey connect;Licensed;NATIONAL_DISTRIBUTOR;10334;75158;44397;ACTIVE;2026-03-09T00:16:28;false;2026-03-08T18:45:42;2026-03-09T02:41:27
6;22293;Branding Response;Plastic;REGIONAL_WHOLESALER;29350;78590;55479;ACTIVE;2026-03-09T16:22:20;false;2026-03-08T18:13:39;2026-03-09T05:42:35
7;92827;Bike payment Borders;neural Product Avon;REGIONAL_WHOLESALER;10948;568;20691;SUSPENDED;2026-03-09T15:41:49;true;2026-03-09T15:50:48;2026-03-09T13:49:35
8;35588;Ball client-driven;distributed Avon reboot;INDEPENDENT_POS;64016;49824;98346;ACTIVE;2026-03-09T12:59:16;false;2026-03-08T19:40:19;2026-03-08T17:14:39
9;34446;SCSI Executive invoice;Nauru;INDEPENDENT_POS;93428;65651;17188;ACTIVE;2026-03-09T01:59:40;false;2026-03-09T14:11:33;2026-03-09T15:33:53
10;71452;Cambridgeshire Berkshire SQL;optical;REGIONAL_WHOLESALER;72489;34304;35544;INACTIVE;2026-03-09T06:27:06;true;2026-03-08T18:48:42;2026-03-09T06:50:52
