id;tenant_id;delivery_number;status;tracking_number;shipped_at;delivered_at;confirmed_at;notes;created_at;order_id
1;61666;Fantastic;IN_PREPARATION;neural Serbia;2026-03-09T07:17:43;2026-03-08T23:49:57;2026-03-09T04:58:39;reboot Nigeria Hawaii;2026-03-09T10:29:34;1
2;2627;Interactions Multi-layered;FAILED;grey;2026-03-09T16:27:02;2026-03-09T05:36:24;2026-03-08T19:32:41;connecting Borders Reverse-engineered;2026-03-08T20:13:53;2
3;90255;Fantastic fresh-thinking Kansas;DELIVERED;Cotton Interface;2026-03-09T02:17:57;2026-03-08T18:01:28;2026-03-09T10:01:53;morph Towels Granite;2026-03-09T14:59:32;3
4;77741;directional Indian;PENDING;Account compress;2026-03-09T06:08:48;2026-03-09T09:10:48;2026-03-08T22:05:43;Practical;2026-03-09T08:16:27;4
5;92500;Corner;FAILED;Massachusetts generate;2026-03-09T12:38:47;2026-03-09T04:28:44;2026-03-09T15:31:05;drive Garden;2026-03-09T12:40:27;5
6;15480;Towels withdrawal maroon;DELIVERED;Developer;2026-03-09T03:05:57;2026-03-08T18:17:28;2026-03-09T13:10:49;Refined Soft;2026-03-09T05:19:28;6
7;15145;killer Movies magenta;SHIPPED;invoice;2026-03-09T04:23:15;2026-03-08T18:41:57;2026-03-09T09:57:38;Refined;2026-03-08T17:10:10;7
8;36098;Kids plum;FAILED;system Concrete Steel;2026-03-08T21:41:49;2026-03-09T06:53:36;2026-03-08T21:12:19;Ball;2026-03-09T05:54:18;8
9;37827;violet;DELIVERED;budgetary Account;2026-03-09T03:20:39;2026-03-08T19:46:17;2026-03-08T22:20:31;Samoa Designer;2026-03-08T20:31:24;9
10;774;customized;DELIVERED;Loan Central;2026-03-08T17:26:05;2026-03-08T16:44:57;2026-03-08T18:22:17;Gorgeous bypass District;2026-03-09T07:03:13;10
