id;tenant_id;invoice_number;amount_ht;tax_amount;amount_ttc;status;issue_date;due_date;paid_at;is_deleted;created_at;updated_at;client_id;order_id
1;65218;RAM systemic;15184;45005;46751;DRAFT;2026-03-08T19:07:04;2026-03-08T17:53:54;2026-03-09T03:07:02;false;2026-03-09T11:29:12;2026-03-08T20:56:58;1;1
2;74773;model Australia;75071;94375;58419;OVERDUE;2026-03-08T20:28:40;2026-03-09T14:00:59;2026-03-08T19:16:34;false;2026-03-09T00:17:23;2026-03-08T18:17:16;2;2
3;13729;online Soft Central;17323;59835;60360;DRAFT;2026-03-09T08:54:01;2026-03-09T16:04:29;2026-03-09T00:12:41;false;2026-03-09T11:36:30;2026-03-08T23:21:03;3;3
4;73808;PNGXX;97683;25244;36763;DRAFT;2026-03-09T06:35:23;2026-03-08T17:39:01;2026-03-09T05:42:05;false;2026-03-08T23:40:19;2026-03-08T17:09:33;4;4
5;80874;Account;74564;84021;83962;OVERDUE;2026-03-08T19:34:41;2026-03-09T04:05:28;2026-03-08T22:05:29;true;2026-03-09T08:00:20;2026-03-09T12:40:01;5;5
6;32340;visualize Dynamic iterate;2286;13945;85471;DRAFT;2026-03-08T16:38:10;2026-03-09T08:23:57;2026-03-09T11:35:10;false;2026-03-09T13:58:26;2026-03-09T02:31:17;6;6
7;36904;Function-based Cotton Lead;45702;99442;49531;OVERDUE;2026-03-08T16:47:32;2026-03-08T19:10:39;2026-03-08T19:56:27;false;2026-03-08T21:48:12;2026-03-09T15:28:20;7;7
8;55646;Groves Chips transmitting;53788;39958;66616;ISSUED;2026-03-08T21:28:50;2026-03-09T16:16:53;2026-03-09T12:08:03;true;2026-03-08T21:07:07;2026-03-08T20:57:56;8;8
9;7073;transitional;2028;55962;11771;PARTIALLY_PAID;2026-03-09T01:36:48;2026-03-08T22:02:02;2026-03-09T15:18:41;false;2026-03-09T02:37:28;2026-03-09T08:21:12;9;9
10;96191;Intuitive applications;10756;70805;58730;DRAFT;2026-03-09T15:16:23;2026-03-09T02:34:37;2026-03-08T19:11:21;true;2026-03-08T23:20:12;2026-03-09T06:16:49;10;10
