id;tenant_id;order_number;status;subtotal;discount_amount;tax_amount;total_amount;payment_terms_days;due_date;rejection_reason;submitted_at;validated_at;is_deleted;created_at;updated_at;client_id
1;48469;monitor;REJECTED;76865;66933;34818;96959;63528;2026-03-09T00:04:33;Marks salmon;2026-03-08T18:24:12;2026-03-08T22:02:34;false;2026-03-09T04:31:00;2026-03-09T05:53:18;1
2;39702;online Auto;SUBMITTED;87953;61371;36148;67206;1403;2026-03-08T19:39:31;Investment synergize;2026-03-08T19:00:48;2026-03-08T22:51:06;true;2026-03-09T01:47:57;2026-03-09T05:06:49;2
3;55341;Creek hack Path;CANCELLED;54519;29068;66445;7374;3657;2026-03-08T21:14:31;Cotton olive Response;2026-03-09T02:20:32;2026-03-08T20:01:20;false;2026-03-09T02:55:11;2026-03-09T05:43:30;3
4;30351;client-server hub;APPROVED;90448;36873;4902;93769;7768;2026-03-09T05:34:33;impactful protocol programming;2026-03-09T04:41:15;2026-03-08T19:40:45;false;2026-03-09T12:44:33;2026-03-09T06:12:28;4
5;18190;Account wireless;DELIVERED;1194;17360;87462;1136;41714;2026-03-09T03:03:20;Uruguay virtual Granite;2026-03-09T00:41:23;2026-03-09T00:26:01;false;2026-03-08T18:29:34;2026-03-08T20:50:08;5
6;63016;Internal Wooden Fish;APPROVED;88388;41634;16690;27031;59584;2026-03-08T16:56:05;hacking;2026-03-08T20:01:31;2026-03-09T12:42:57;true;2026-03-09T14:16:09;2026-03-09T14:24:39;6
7;95105;Computer;APPROVED;98677;47805;31861;77003;28134;2026-03-09T11:47:17;Denar;2026-03-09T01:35:56;2026-03-09T10:08:14;true;2026-03-09T12:58:39;2026-03-09T11:49:49;7
8;77345;Strategist;UNDER_REVIEW;63683;69634;92559;65401;56270;2026-03-08T19:45:05;bypassing;2026-03-09T04:29:37;2026-03-08T17:19:16;true;2026-03-09T00:10:15;2026-03-09T04:06:46;8
9;57092;Licensed niches;APPROVED;83942;93467;61390;26667;29553;2026-03-09T16:10:33;Avon;2026-03-08T17:20:34;2026-03-08T17:24:25;false;2026-03-09T00:43:16;2026-03-09T03:09:37;9
10;64659;local SCSI Division;INVOICED;15797;17092;43287;21293;13624;2026-03-09T03:09:07;intermediate Account;2026-03-09T09:59:47;2026-03-09T14:50:48;true;2026-03-09T03:16:43;2026-03-09T05:17:09;10
