id;tenant_id;assigned_to_login;title;description;mission_date;status;created_at;updated_at
1;56535;RSS innovative;gold COM bypass;Italy actuating Legacy;2026-03-08T23:29:45;PLANNED;2026-03-09T02:59:49;2026-03-08T22:45:49
2;31842;Ouguiya;withdrawal;secondary;2026-03-09T12:20:42;IN_PROGRESS;2026-03-08T19:26:35;2026-03-09T15:28:07
3;75053;synthesize;Baby expedite Awesome;SDD web-enabled;2026-03-09T15:30:10;PLANNED;2026-03-09T05:21:39;2026-03-09T06:04:26
4;52739;function;transmitting;Movies secondary Designer;2026-03-09T16:25:38;IN_PROGRESS;2026-03-09T09:21:59;2026-03-09T15:38:18
5;5785;synthesizing;Uruguay maroon;end-to-end Kentucky Land;2026-03-09T13:48:22;IN_PROGRESS;2026-03-09T03:42:07;2026-03-09T10:58:36
6;72293;Plastic;Sleek Sleek;Paradigm Berkshire;2026-03-08T18:15:14;IN_PROGRESS;2026-03-08T19:23:43;2026-03-08T20:21:18
7;19919;digital;Industrial;gold;2026-03-09T07:51:46;CANCELLED;2026-03-08T18:24:08;2026-03-09T09:24:53
8;61187;Nepal;programming Director Fantastic;customized;2026-03-08T18:33:13;CANCELLED;2026-03-09T03:37:04;2026-03-09T05:17:52
9;65375;redundant Account seize;Hampshire;Franc payment invoice;2026-03-09T01:54:46;COMPLETED;2026-03-09T13:02:07;2026-03-09T04:37:06
10;49092;Borders utilisation;infrastructures Peso interactive;program navigate redundant;2026-03-09T04:40:24;IN_PROGRESS;2026-03-09T14:18:34;2026-03-09T15:30:27
