id;quantity;unit_price;discount_pct;line_total;created_at;product_id;order_id
1;19691;9773;29;25110;2026-03-09T13:06:23;1;1
2;51476;91585;26;3638;2026-03-08T20:29:15;2;2
3;5381;28352;56;54281;2026-03-09T11:27:06;3;3
4;30232;69536;93;25103;2026-03-09T15:38:45;4;4
5;9349;69176;48;84491;2026-03-09T08:56:08;5;5
6;83653;59069;74;20778;2026-03-09T03:59:09;6;6
7;54158;88136;46;33464;2026-03-09T15:21:49;7;7
8;9132;10930;35;73384;2026-03-09T02:34:05;8;8
9;94490;91204;66;1229;2026-03-09T04:45:22;9;9
10;25687;54014;50;92134;2026-03-08T19:26:42;10;10
