id;visit_order;objective;status;latitude;longitude;checkin_at;checkout_at;notes;created_at;client_id;mission_id
1;1885;SUPPORT;IN_PROGRESS;13793;10974;2026-03-09T11:24:29;2026-03-09T04:17:49;reboot drive Down-sized;2026-03-09T13:02:51;1;1
2;63342;AUDIT;CANCELLED;73078;94180;2026-03-09T12:35:16;2026-03-09T09:16:09;Senior program;2026-03-09T06:03:28;2;2
3;14030;SALE;PLANNED;67374;5147;2026-03-09T09:15:37;2026-03-09T13:24:18;Directives;2026-03-09T05:05:18;3;3
4;72082;AUDIT;CANCELLED;78838;16046;2026-03-09T09:13:52;2026-03-09T04:11:56;global;2026-03-09T03:46:44;4;4
5;78308;COLLECTION;PLANNED;53537;32161;2026-03-09T10:24:28;2026-03-08T16:53:52;yellow Reduced;2026-03-09T09:57:41;5;5
6;58664;SALE;IN_PROGRESS;25358;18495;2026-03-09T07:40:17;2026-03-09T14:21:46;24/7 Technician;2026-03-08T16:52:10;6;6
7;84827;PROSPECTING;CANCELLED;54611;7260;2026-03-09T06:55:10;2026-03-09T15:54:13;metrics Outdoors;2026-03-09T00:04:08;7;7
8;67727;SUPPORT;CANCELLED;5419;12805;2026-03-09T14:16:43;2026-03-09T05:46:29;Optimization communities Hat;2026-03-09T09:40:14;8;8
9;4693;PROSPECTING;MISSED;90995;92118;2026-03-09T00:07:53;2026-03-09T13:08:11;redundant digital;2026-03-09T10:38:30;9;9
10;36492;COLLECTION;COMPLETED;1009;74090;2026-03-09T06:32:37;2026-03-09T09:21:08;Soft Ergonomic Web;2026-03-09T04:06:57;10;10
