id;tenant_id;status;theoretical_count;physical_count;discrepancy_count;notes;auditor_login;started_at;closed_at;warehouse_id
1;41272;IN_PROGRESS;192;22209;97794;Regional;Metal Shoes override;2026-03-08T20:55:41;2026-03-08T23:19:06;1
2;48265;IN_PROGRESS;6265;18177;30726;AI payment;quantifying Networked;2026-03-09T07:02:09;2026-03-09T16:28:09;2
3;47334;CANCELLED;9868;28174;15592;Mouse Outdoors;full-range Keyboard;2026-03-09T03:53:44;2026-03-09T14:31:42;3
4;28857;CANCELLED;68726;61628;51236;Knolls Platinum;Robust Hills Security;2026-03-09T11:26:59;2026-03-09T16:07:16;4
5;97233;CANCELLED;40764;5752;18842;Chicken target;and;2026-03-08T22:04:14;2026-03-08T17:35:50;5
6;79612;CLOSED;90095;36411;17255;Designer recontextualize;solution-oriented;2026-03-08T22:51:05;2026-03-08T20:25:42;6
7;14148;CANCELLED;88320;95612;22433;Louisiana;hacking;2026-03-09T02:10:07;2026-03-08T17:58:09;7
8;350;IN_PROGRESS;50661;47481;5692;Suriname Pizza;PCI;2026-03-09T10:38:00;2026-03-09T13:53:33;8
9;31084;IN_PROGRESS;79278;16421;74550;metrics orange Wooden;cyan Bedfordshire;2026-03-09T08:54:45;2026-03-08T19:43:24;9
10;66906;CLOSED;72759;44749;91785;Incredible Intelligent;IB Factors transmit;2026-03-09T13:34:58;2026-03-09T12:52:25;10
