id;found_physically;resolution;resolution_note;created_at;stock_item_id;audit_id
1;false;FOUND;online;2026-03-09T10:25:45;1;1
2;true;IN_PROGRESS;time-frame;2026-03-08T18:50:00;2;2
3;false;IN_PROGRESS;Steel bypassing task-force;2026-03-09T08:25:09;3;3
4;false;FOUND;transmit Multi-layered Awesome;2026-03-08T17:15:24;4;4
5;false;FOUND;Expanded Sports;2026-03-08T21:49:56;5;5
6;true;IN_PROGRESS;York;2026-03-08T21:07:36;6;6
7;false;SYSTEM_ERROR;interface relationships Tasty;2026-03-08T17:01:31;7;7
8;true;IN_PROGRESS;payment Cambridgeshire Keyboard;2026-03-09T15:52:26;8;8
9;false;FOUND;Avon;2026-03-09T07:18:35;9;9
10;false;FOUND;Rubber invoice;2026-03-09T16:14:11;10;10
