id;movement_type;reason;reference;quantity;performed_by_login;created_at;stock_item_id
1;RETURN;Rican Bedfordshire;payment;163;violet Skyway challenge;2026-03-09T15:07:26;1
2;OUTBOUND;orange;generating Rupee;87890;teal haptic Hat;2026-03-09T14:11:19;2
3;SWAP_IN;collaboration back-end Mobility;Automotive redundant;74755;1080p;2026-03-09T05:01:28;3
4;OUTBOUND;deposit;Nicaragua Credit;15394;Refined;2026-03-09T02:05:43;4
5;INVENTORY_ADJUSTMENT;Bedfordshire secondary programming;Account;85737;Tasty Ports;2026-03-09T10:33:50;5
6;OUTBOUND;Loan;Curve payment;85769;extensible Pants;2026-03-09T13:10:32;6
7;RETURN;International;Wisconsin feed;80748;feed program;2026-03-09T11:56:43;7
8;INBOUND;Cambridgeshire SMTP Keyboard;Cambridgeshire bandwidth;14529;Sausages Ethiopia;2026-03-09T00:20:44;8
9;SWAP_OUT;Ball Fresh;Oregon Avon;21478;policy;2026-03-09T11:45:31;9
10;INVENTORY_ADJUSTMENT;azure withdrawal;Identity Bedfordshire Plastic;98048;invoice;2026-03-08T16:37:39;10
