id;tenant_id;name;type;address;city;min_threshold;is_active;created_at;updated_at
1;84062;Pound Metal;SWAP;Account wireless;Tigard;74319;false;2026-03-09T01:18:24;2026-03-08T22:01:05
2;35768;Pizza Awesome incentivize;MISSING;Unbranded rich;Carmelchester;26017;true;2026-03-08T21:23:12;2026-03-08T23:51:58
3;68311;GB Fresh Knolls;MISSING;Future interface;Schowalterstad;9282;true;2026-03-08T20:01:41;2026-03-09T05:25:52
4;72058;Multi-channelled Pennsylvania;MISSING;Wyoming Account;New Enrique;24082;true;2026-03-09T10:22:30;2026-03-08T17:27:09
5;88559;emulation;LOCAL;Salad users input;Lawton;68813;false;2026-03-09T12:24:15;2026-03-09T09:30:52
6;37512;Leone Cotton;MISSING;maximize Underpass;Mateochester;41702;true;2026-03-09T05:02:47;2026-03-09T15:14:37
7;11132;Brook neural Internal;SITE;Soft ADP;Franeckimouth;76831;false;2026-03-09T00:29:29;2026-03-08T16:48:54
8;41324;Chips reboot Tactics;LOCAL;Gloves visionary;South Ayanaton;46097;true;2026-03-08T17:00:58;2026-03-09T14:54:10
9;82544;overriding bandwidth Response;SITE;neural cohesive Coordinator;Kuhnchester;40302;true;2026-03-08T20:44:47;2026-03-09T12:17:30
10;3086;mobile;MISSING;RAM Guiana calculating;North Frederiquetown;6158;true;2026-03-08T20:57:39;2026-03-08T22:11:53
