id;tenant_id;client_id;client_name;period;score;classification;breakdown_json;calculated_at
1;35431;11789;Gorgeous Incredible Soft;aggrega;68;EXCELLENT;../fake-data/blob/hipster.txt;2026-03-09T00:50:58
2;20631;39903;Canyon Oklahoma withdrawal;Technic;97;POOR;../fake-data/blob/hipster.txt;2026-03-09T15:09:03
3;99782;17094;Serbia mobile;green;45;POOR;../fake-data/blob/hipster.txt;2026-03-09T08:48:00
4;13872;9013;Dinar turn-key partnerships;embrace;44;GOOD;../fake-data/blob/hipster.txt;2026-03-09T09:56:46
5;61050;89969;whiteboard multi-byte;Niue;14;GOOD;../fake-data/blob/hipster.txt;2026-03-09T10:49:17
6;98625;36929;Borders;Triple-;25;AVERAGE;../fake-data/blob/hipster.txt;2026-03-08T19:40:26
7;60041;6546;payment Chips;Intelli;37;GOOD;../fake-data/blob/hipster.txt;2026-03-08T23:38:29
8;26394;18084;blue Chair Puerto;back-en;70;AVERAGE;../fake-data/blob/hipster.txt;2026-03-08T23:41:24
9;19978;17048;action-items;License;32;GOOD;../fake-data/blob/hipster.txt;2026-03-08T16:39:24
10;95733;50673;Rustic Plastic;Small;78;AVERAGE;../fake-data/blob/hipster.txt;2026-03-09T06:10:28
