id;tenant_id;recipient_login;type;title;body;payload_json;is_read;read_at;created_at
1;41505;Pants;PAYMENT_DUE;Jewelery;port;../fake-data/blob/hipster.txt;true;2026-03-09T03:19:29;2026-03-08T19:47:21
2;18722;Shores;PAYMENT_DUE;copying Wooden;Directives invoice payment;../fake-data/blob/hipster.txt;true;2026-03-09T06:42:47;2026-03-09T15:59:29
3;82007;invoice Practical Specialist;STOCK_DISCREPANCY;solutions;Intelligent;../fake-data/blob/hipster.txt;false;2026-03-08T23:04:33;2026-03-09T01:02:58
4;40687;generation Fresh payment;STOCK_ALERT;FTP reintermediate;Berkshire AGP;../fake-data/blob/hipster.txt;false;2026-03-08T21:46:45;2026-03-09T02:36:50
5;93789;generation generate auxiliary;STOCK_ALERT;Liaison Gloves Table;mobile Loan;../fake-data/blob/hipster.txt;true;2026-03-09T15:23:33;2026-03-08T21:23:14
6;65671;Tugrik Hat;STOCK_ALERT;Shirt payment Chief;Global architectures;../fake-data/blob/hipster.txt;false;2026-03-08T23:49:14;2026-03-08T18:52:56
7;81008;circuit Home;DELIVERY_CONFIRMED;HDD Arizona Car;utilize ivory GB;../fake-data/blob/hipster.txt;false;2026-03-09T15:57:11;2026-03-08T19:23:00
8;24660;deposit applications;PAYMENT_DUE;deposit Incredible;Clothing;../fake-data/blob/hipster.txt;true;2026-03-08T17:16:19;2026-03-09T14:21:04
9;97386;panel Handcrafted;ORDER_APPROVED;compress;Tuna navigating Salad;../fake-data/blob/hipster.txt;true;2026-03-09T11:25:37;2026-03-09T05:42:24
10;68190;Specialist;SCORE_CALCULATED;Account Ball;Reactive;../fake-data/blob/hipster.txt;true;2026-03-09T00:04:15;2026-03-09T11:02:31
