id;tenant_id;assigned_to_login;period;metric_type;target_value;achieved_value;created_at;updated_at
1;55079;reinvent;interfa;CONVERSION_RATE;38468;28537;2026-03-09T02:05:01;2026-03-09T15:49:51
2;49839;indexing Oklahoma turquoise;haptic ;REVENUE;44220;35942;2026-03-09T14:48:33;2026-03-09T12:27:16
3;43946;withdrawal;Polaris;CONVERSION_RATE;26334;63838;2026-03-09T11:58:15;2026-03-09T16:13:12
4;24273;Chief Glen Sports;visiona;UNIT_VOLUME;44395;47492;2026-03-09T12:48:03;2026-03-09T11:45:50
5;9142;compressing Cambridgeshire;Russian;UNIT_VOLUME;1727;43087;2026-03-08T19:27:07;2026-03-09T00:41:00
6;49165;dynamic Quality Regional;parsing;UNIT_VOLUME;20970;64821;2026-03-08T18:32:35;2026-03-09T15:35:45
7;79946;Cordoba Usability;copy Ha;REVENUE;37626;88223;2026-03-08T22:46:15;2026-03-08T23:06:18
8;95369;Wooden Intranet;Consult;VISIT_COUNT;92146;48357;2026-03-09T08:13:04;2026-03-09T04:02:58
9;98979;Salad Chips;exploit;CONVERSION_RATE;10629;53263;2026-03-09T04:20:23;2026-03-08T17:32:18
10;66261;Loan Zealand Enterprise-wide;azure;REVENUE;1504;43716;2026-03-09T00:16:36;2026-03-09T07:37:57
