id;name;code;status;created_at;updated_at
1;Representative;Berkshire withdrawal;INACTIVE;2026-03-09T06:14:41;2026-03-08T18:31:55
2;mission-critical Shoes;Uzbekistan matrix Fresh;ACTIVE;2026-03-09T07:01:18;2026-03-08T20:39:39
3;Cambridgeshire;Practical olive;ACTIVE;2026-03-09T10:26:29;2026-03-09T00:47:26
4;Grocery Home Indiana;withdrawal Universal quantify;INACTIVE;2026-03-08T17:00:29;2026-03-09T00:13:37
5;database;Communications;ACTIVE;2026-03-09T16:17:40;2026-03-08T20:19:23
6;collaborative;pixel intuitive Bacon;TRIAL;2026-03-09T10:36:07;2026-03-09T05:55:18
7;web-enabled Specialist IB;Soft Berkshire;SUSPENDED;2026-03-09T12:55:50;2026-03-09T10:01:44
8;Account back orchestrate;Chair;INACTIVE;2026-03-09T00:23:25;2026-03-09T10:11:36
9;Vista Industrial;TCP Salad Cotton;ACTIVE;2026-03-09T15:12:16;2026-03-08T20:45:10
10;PCI Group;green Mauritius Mongolia;TRIAL;2026-03-08T23:03:59;2026-03-09T13:34:25
